figure,panel,figure_title,panel_legend,availability_note,panel_source_data_files,panel_code_files,figure_level_source_data_dir,figure_level_code_dir,original_source_dirs,original_code_dirs
Figure 5,b,Leydig-cell maturation defects link interstitial niche collapse to impaired steroidogenic endocrine function.,"Heatmap of Leydig state-associated genes across trajectory-defined states. Immature/intermediate states are enriched for progenitor-like and interstitial remodeling markers, whereas mature states are enriched for steroidogenic and endocrine-effector genes.",full; Heatmap matrix values and gene order recovered from heatmap_export.xlsx.,latest_figure_panel_data_code_20260604/Figure_5/panels/panel_B/source_data/figure5_source_data__Fig5B_heatmap_gene_order.csv; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_B/source_data/figure5_source_data__Fig5B_heatmap_matrix_long.csv; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_B/source_data/figure5_source_data__Fig5B_heatmap_matrix_wide.csv; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_B/source_data/raw_support__Fig5B_heatmap_export.xlsx; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_B/source_data/raw_support__Fig5B_heatmap_export_row_clusters_items.xlsx,latest_figure_panel_data_code_20260604/Figure_5/panels/panel_B/code/figure5_code__README.txt; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_B/code/figure5_code__fig5_plot_panels.py; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_B/code/figure5_code__figure5_source_data.py,latest_figure_panel_data_code_20260604/Figure_5/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_5/figure_level_code,current_source_data_20260602/figure5_source_data,current_source_data_20260602/figure5_code
Figure 5,c,Leydig-cell maturation defects link interstitial niche collapse to impaired steroidogenic endocrine function.,"Violin plots showing expression of representative immature Leydig markers and mature steroidogenic markers across Leydig states. Immature/intermediate markers include NOTCH2, PDGFRB, NR2F2, MAFB, IGF1, and DLK1, whereas mature markers include CYP11A1, CYP17A1, HSD17B3, HSD17B6, and INSL3.",full; Per-cell expression for NOTCH2/PDGFRB/CYP17A1/INSL3 recovered from expression.csv with LC stage mapping.,latest_figure_panel_data_code_20260604/Figure_5/panels/panel_C/source_data/figure5_source_data__Fig5C_stage_marker_cells.csv; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_C/source_data/figure5_source_data__Fig5C_stage_marker_summary.csv,latest_figure_panel_data_code_20260604/Figure_5/panels/panel_C/code/figure5_code__README.txt; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_C/code/figure5_code__fig5_plot_panels.py; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_C/code/figure5_code__figure5_source_data.py,latest_figure_panel_data_code_20260604/Figure_5/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_5/figure_level_code,current_source_data_20260602/figure5_source_data,current_source_data_20260602/figure5_code
Figure 5,d,Leydig-cell maturation defects link interstitial niche collapse to impaired steroidogenic endocrine function.,"Proportional distribution of Leydig-cell states across diagnoses. Non-obstructive etiologies show enrichment of immature Leydig states and depletion of mature steroidogenic states, with strongest remodeling in KS and iNOA_S.",full; Stage composition counts/ratios recovered from expression.csv.,latest_figure_panel_data_code_20260604/Figure_5/panels/panel_D/source_data/figure5_source_data__Fig5D_stage_counts_by_group.csv; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_D/source_data/figure5_source_data__Fig5D_stage_ratio_by_group.csv,latest_figure_panel_data_code_20260604/Figure_5/panels/panel_D/code/figure5_code__README.txt; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_D/code/figure5_code__fig5_plot_panels.py; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_D/code/figure5_code__figure5_source_data.py,latest_figure_panel_data_code_20260604/Figure_5/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_5/figure_level_code,current_source_data_20260602/figure5_source_data,current_source_data_20260602/figure5_code
Figure 5,e,Leydig-cell maturation defects link interstitial niche collapse to impaired steroidogenic endocrine function.,"Diagnosis-stratified projection of Leydig cells along the maturation manifold, illustrating etiology-dependent shifts toward immature/intermediate Leydig states in non-obstructive disease.",partial; Group-highlight UMAP cell coordinates available; lower pseudotime group trajectories are available as panel PDFs without numeric trajectory tables.,latest_figure_panel_data_code_20260604/Figure_5/panels/panel_E/source_data/figure5_source_data__Fig5E_group_highlight_summary.csv; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_E/source_data/figure5_source_data__Fig5E_group_highlight_umap_cells.csv; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_E/source_data/figure5_source_data__Fig5E_trajectory_note.csv,latest_figure_panel_data_code_20260604/Figure_5/panels/panel_E/code/figure5_code__README.txt; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_E/code/figure5_code__fig5_plot_panels.py; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_E/code/figure5_code__figure5_source_data.py,latest_figure_panel_data_code_20260604/Figure_5/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_5/figure_level_code,current_source_data_20260602/figure5_source_data,current_source_data_20260602/figure5_code
Figure 5,f,Leydig-cell maturation defects link interstitial niche collapse to impaired steroidogenic endocrine function.,"Gene Ontology enrichment of Leydig-cell genes downregulated in disease compared with controls. Downregulated programs converge on cholesterol metabolism, sterol metabolism, steroid biosynthesis, steroid hormone biosynthesis, lipid/fatty-acid metabolism, mitochondrial respiration, and oxidative phosphorylation.",full; GO enrichment down-regulated rows recovered from LC_GOALL_enrichment_sig.xlsx.,latest_figure_panel_data_code_20260604/Figure_5/panels/panel_F/source_data/figure5_source_data__Fig5F_GO_down_vs_ctrl_long.csv; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_F/source_data/figure5_source_data__Fig5F_GO_down_vs_ctrl_top5_by_group.csv; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_F/source_data/raw_support__Fig5F_LC_GOALL_enrichment_sig.xlsx,latest_figure_panel_data_code_20260604/Figure_5/panels/panel_F/code/figure5_code__README.txt; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_F/code/figure5_code__fig5_plot_panels.py; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_F/code/figure5_code__figure5_source_data.py,latest_figure_panel_data_code_20260604/Figure_5/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_5/figure_level_code,current_source_data_20260602/figure5_source_data,current_source_data_20260602/figure5_code
Figure 5,g,Leydig-cell maturation defects link interstitial niche collapse to impaired steroidogenic endocrine function.,"Dot plot of cholesterol-handling and steroidogenic genes across diagnoses. Dot size indicates the fraction of cells expressing each gene, and color indicates scaled average expression. Disease contexts show attenuation of key endocrine genes including STAR, CYP11A1, CYP17A1, INSL3, SCARB1, DHCR7, and DHCR24.",partial; Average expression matrix recovered from ALL-LC-matrix.csv; percent-expressed values used for bubble size were not found as explicit numeric table.,latest_figure_panel_data_code_20260604/Figure_5/panels/panel_G/source_data/figure5_source_data__Fig5G_dotplot_average_expression_long.csv; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_G/source_data/figure5_source_data__Fig5G_dotplot_gene_order.csv; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_G/source_data/figure5_source_data__Fig5G_dotplot_note.csv; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_G/source_data/raw_support__Fig5G_ALL-LC-matrix.csv; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_G/source_data/raw_support__Fig5G_steroid_gene_list.csv,latest_figure_panel_data_code_20260604/Figure_5/panels/panel_G/code/figure5_code__README.txt; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_G/code/figure5_code__fig5_plot_panels.py; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_G/code/figure5_code__figure5_source_data.py,latest_figure_panel_data_code_20260604/Figure_5/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_5/figure_level_code,current_source_data_20260602/figure5_source_data,current_source_data_20260602/figure5_code
Figure 5,h,Leydig-cell maturation defects link interstitial niche collapse to impaired steroidogenic endocrine function.,"Schematic of the independent peripheral blood cohort used to assess systemic endocrine relevance across controls, OA, and NOA patients.",full; Cohort counts recovered from clinical table/violin source data.,latest_figure_panel_data_code_20260604/Figure_5/panels/panel_H/source_data/figure5_source_data__Fig5H_cohort_counts.csv; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_H/source_data/raw_support__Fig5H_clinical_stats_20250619.xlsx,latest_figure_panel_data_code_20260604/Figure_5/panels/panel_H/code/figure5_code__README.txt; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_H/code/figure5_code__fig5_plot_panels.py; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_H/code/figure5_code__figure5_source_data.py,latest_figure_panel_data_code_20260604/Figure_5/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_5/figure_level_code,current_source_data_20260602/figure5_source_data,current_source_data_20260602/figure5_code
Figure 5,i,Leydig-cell maturation defects link interstitial niche collapse to impaired steroidogenic endocrine function.,"Serum hormone measurements in the independent cohort, including testosterone, luteinizing hormone, and thyroid-stimulating hormone. NOA is associated with reduced testosterone and elevated luteinizing hormone, whereas OA shows comparatively preserved endocrine profiles. Thyroid-stimulating hormone serves as a non-gonadal endocrine specificity control. Statistical annotations are shown in the panels.",full; Hormone-level clinical values recovered from Violin_Input_generated.csv; original plotting R script preserved.,latest_figure_panel_data_code_20260604/Figure_5/panels/panel_I/source_data/figure5_source_data__Fig5I_hormone_summary.csv; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_I/source_data/figure5_source_data__Fig5I_hormone_values.csv; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_I/source_data/raw_support__Fig5I_Violin_Input_generated.csv,latest_figure_panel_data_code_20260604/Figure_5/panels/panel_I/code/figure5_code__README.txt; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_I/code/figure5_code__fig5_plot_panels.py; latest_figure_panel_data_code_20260604/Figure_5/panels/panel_I/code/figure5_code__figure5_source_data.py,latest_figure_panel_data_code_20260604/Figure_5/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_5/figure_level_code,current_source_data_20260602/figure5_source_data,current_source_data_20260602/figure5_code
Figure 6,a,Disrupted Sertoli–Leydig Hedgehog signaling reveals a communication mismatch within the collapsed niche.,"Ligand–receptor communication summaries centered on Leydig cells. Outgoing Leydig-cell signaling to surrounding somatic lineages and incoming signaling to Leydig cells are compared between control and azoospermia conditions, showing broad rewiring of Leydig-centered niche communication.",partial; LC ligands / LC receptors schematic network,latest_figure_panel_data_code_20260604/Figure_6/panels/panel_A/source_data/figure6_source_data__Fig6AB_hedgehog_interaction_matrix_long.csv; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_A/source_data/figure6_source_data__Fig6AB_hedgehog_interaction_summary.csv; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_A/source_data/figure6_source_data__Fig6A_network_edges_manual.csv,latest_figure_panel_data_code_20260604/Figure_6/panels/panel_A/code/figure6_code__README.txt; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_A/code/figure6_code__fig6_cd_dotplot.py; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_A/code/figure6_code__fig6_cd_prepare_source_data.py; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_A/code/figure6_code__fig6_source_data.py,latest_figure_panel_data_code_20260604/Figure_6/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_6/figure_level_code,current_source_data_20260602/figure6_source_data,current_source_data_20260602/figure6_code
Figure 6,b,Disrupted Sertoli–Leydig Hedgehog signaling reveals a communication mismatch within the collapsed niche.,"Dot plot of Hedgehog pathway ligand–receptor interactions between Sertoli and Leydig states. Interactions include the Sertoli-derived DHH ligand and Leydig-side PTCH/co-receptor axes involving GAS1, CDON, BOC, and HHIP. Dot size indicates interaction strength, and color indicates interaction significance or relative communication probability as shown in the panel.",available; Hedgehog signaling interaction bubble,latest_figure_panel_data_code_20260604/Figure_6/panels/panel_B/source_data/raw_support__Fig6B_significant_means_ctrl.csv; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_B/source_data/raw_support__Fig6B_significant_means_disease.csv,latest_figure_panel_data_code_20260604/Figure_6/panels/panel_B/code/figure6_code__README.txt; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_B/code/figure6_code__fig6_cd_dotplot.py; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_B/code/figure6_code__fig6_cd_prepare_source_data.py; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_B/code/figure6_code__fig6_source_data.py,latest_figure_panel_data_code_20260604/Figure_6/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_6/figure_level_code,current_source_data_20260602/figure6_source_data,current_source_data_20260602/figure6_code
Figure 6,c,Disrupted Sertoli–Leydig Hedgehog signaling reveals a communication mismatch within the collapsed niche.,"Expression of Hedgehog receptor/co-receptor components in Leydig-cell states across diagnoses. Disease-associated reduction of Leydig-side GAS1, CDON, and BOC indicates impaired Hedgehog signal reception in the interstitial compartment.",available; LC_a dotplot,latest_figure_panel_data_code_20260604/Figure_6/panels/panel_C/source_data/figure6_source_data__Fig6CD_source_note.csv; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_C/source_data/figure6_source_data__Fig6C_dotplot_LCa.csv; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_C/source_data/figure6_source_data__Fig6C_heatmap_LCa.csv; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_C/source_data/figure6_source_data__Fig6C_violin_cells_LCa.csv,latest_figure_panel_data_code_20260604/Figure_6/panels/panel_C/code/figure6_code__README.txt; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_C/code/figure6_code__fig6_cd_dotplot.py; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_C/code/figure6_code__fig6_cd_prepare_source_data.py; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_C/code/figure6_code__fig6_source_data.py,latest_figure_panel_data_code_20260604/Figure_6/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_6/figure_level_code,current_source_data_20260602/figure6_source_data,current_source_data_20260602/figure6_code
Figure 6,d,Disrupted Sertoli–Leydig Hedgehog signaling reveals a communication mismatch within the collapsed niche.,"Expression of Hedgehog ligand and pathway components in Sertoli cells across diagnoses. Sertoli DHH expression is retained or increased in selected disease contexts, suggesting that Hedgehog disruption reflects receptor-side mismatch rather than simple ligand loss.",available; ST dotplot,latest_figure_panel_data_code_20260604/Figure_6/panels/panel_D/source_data/figure6_source_data__Fig6D_dotplot_ST_full_with_OA.csv; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_D/source_data/figure6_source_data__Fig6D_dotplot_ST_no_OA.csv; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_D/source_data/figure6_source_data__Fig6D_heatmap_ST_full_with_OA.csv; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_D/source_data/figure6_source_data__Fig6D_heatmap_ST_no_OA.csv; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_D/source_data/figure6_source_data__Fig6D_violin_cells_ST.csv,latest_figure_panel_data_code_20260604/Figure_6/panels/panel_D/code/figure6_code__README.txt; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_D/code/figure6_code__fig6_cd_dotplot.py; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_D/code/figure6_code__fig6_cd_prepare_source_data.py; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_D/code/figure6_code__fig6_source_data.py,latest_figure_panel_data_code_20260604/Figure_6/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_6/figure_level_code,current_source_data_20260602/figure6_source_data,current_source_data_20260602/figure6_code
Figure 6,e,Disrupted Sertoli–Leydig Hedgehog signaling reveals a communication mismatch within the collapsed niche.,"Volcano plot of differentially expressed genes in the immature Leydig-cell state comparing azoospermia with controls. Significantly upregulated and downregulated genes are highlighted, emphasizing disease-associated Leydig remodeling.",available; LC_a volcano,latest_figure_panel_data_code_20260604/Figure_6/panels/panel_E/source_data/figure6_source_data__Fig6E_note.csv; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_E/source_data/figure6_source_data__Fig6E_volcano_candidate_counts.csv; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_E/source_data/figure6_source_data__Fig6E_volcano_group1_all.csv; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_E/source_data/figure6_source_data__Fig6E_volcano_group1_threshold_summary.csv; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_E/source_data/raw_support__Fig6E_candidates_P20073103_AZFc_DelvsCtrl.diffexpressed.xls; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_E/source_data/raw_support__Fig6E_candidates_P20073103_KSvsCtrl.diffexpressed.xls; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_E/source_data/raw_support__Fig6E_candidates_P20073103_OAvsCtrl.diffexpressed.xls; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_E/source_data/raw_support__Fig6E_candidates_P20073103_iNOA_BvsCtrl.diffexpressed.xls; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_E/source_data/raw_support__Fig6E_candidates_P20073103_iNOA_SvsCtrl.diffexpressed.xls; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_E/source_data/raw_support__Fig6E_group1_DEGs_result.tsv; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_E/source_data/raw_support__Fig6E_group1_DEGs_result.xls,latest_figure_panel_data_code_20260604/Figure_6/panels/panel_E/code/figure6_code__README.txt; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_E/code/figure6_code__fig6_cd_dotplot.py; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_E/code/figure6_code__fig6_cd_prepare_source_data.py; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_E/code/figure6_code__fig6_source_data.py,latest_figure_panel_data_code_20260604/Figure_6/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_6/figure_level_code,current_source_data_20260602/figure6_source_data,current_source_data_20260602/figure6_code
Figure 6,f,Disrupted Sertoli–Leydig Hedgehog signaling reveals a communication mismatch within the collapsed niche.,"Gene Ontology enrichment analysis of differentially expressed genes in the immature Leydig-cell state. Azoospermia-enriched programs are dominated by extracellular-matrix organization, adhesion, and interstitial remodeling, whereas control-enriched programs are associated with RNA processing, growth regulation, and homeostatic cellular functions.",available; GO terms enriched in azoospermia,latest_figure_panel_data_code_20260604/Figure_6/panels/panel_F/source_data/figure6_source_data__Fig6FG_GO_all_long.csv; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_F/source_data/figure6_source_data__Fig6F_GO_terms_selected.csv; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_F/source_data/raw_support__Fig6F_GO_LCa_ctrl_vs_disease.csv,latest_figure_panel_data_code_20260604/Figure_6/panels/panel_F/code/figure6_code__README.txt; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_F/code/figure6_code__fig6_cd_dotplot.py; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_F/code/figure6_code__fig6_cd_prepare_source_data.py; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_F/code/figure6_code__fig6_source_data.py,latest_figure_panel_data_code_20260604/Figure_6/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_6/figure_level_code,current_source_data_20260602/figure6_source_data,current_source_data_20260602/figure6_code
Figure 6,g,Disrupted Sertoli–Leydig Hedgehog signaling reveals a communication mismatch within the collapsed niche.,"Representative immunofluorescence staining validating Hedgehog-axis remodeling. WT1/DHH staining assesses Sertoli/tubular DHH signal, whereas CYP11A1/GAS1 staining assesses Leydig-associated Hedgehog receptor-side signal.",available; GO terms enriched in ctrl,latest_figure_panel_data_code_20260604/Figure_6/panels/panel_G/source_data/figure6_source_data__Fig6G_GO_terms_selected.csv; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_G/source_data/raw_support__Fig6G_GO_LCa_disease_vs_ctrl.csv,latest_figure_panel_data_code_20260604/Figure_6/panels/panel_G/code/figure6_code__README.txt; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_G/code/figure6_code__fig6_cd_dotplot.py; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_G/code/figure6_code__fig6_cd_prepare_source_data.py; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_G/code/figure6_code__fig6_source_data.py,latest_figure_panel_data_code_20260604/Figure_6/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_6/figure_level_code,current_source_data_20260602/figure6_source_data,current_source_data_20260602/figure6_code
Figure 6,h,Disrupted Sertoli–Leydig Hedgehog signaling reveals a communication mismatch within the collapsed niche.,"Working model summarizing disease-associated Sertoli–Leydig Hedgehog mismatch. The model depicts retained or compensatory Sertoli-side DHH ligand activity together with impaired Leydig-side co-receptor expression, Leydig immaturity, and ECM-rich interstitial remodeling.",partial; IF image panel inventory,latest_figure_panel_data_code_20260604/Figure_6/panels/panel_H/source_data/figure6_source_data__Fig6H_image_path_inventory.csv,latest_figure_panel_data_code_20260604/Figure_6/panels/panel_H/code/figure6_code__README.txt; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_H/code/figure6_code__fig6_cd_dotplot.py; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_H/code/figure6_code__fig6_cd_prepare_source_data.py; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_H/code/figure6_code__fig6_source_data.py,latest_figure_panel_data_code_20260604/Figure_6/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_6/figure_level_code,current_source_data_20260602/figure6_source_data,current_source_data_20260602/figure6_code
Figure 6,i,Disrupted Sertoli–Leydig Hedgehog signaling reveals a communication mismatch within the collapsed niche.,Quantification of DHH fluorescence intensity in seminiferous tubules and GAS1 fluorescence intensity in Leydig-cell regions across representative groups. Data are presented as indicated in the panels; statistical significance is annotated.,available; Working model schematic,latest_figure_panel_data_code_20260604/Figure_6/panels/panel_I/source_data/figure6_source_data__Fig6I_note.csv,latest_figure_panel_data_code_20260604/Figure_6/panels/panel_I/code/figure6_code__README.txt; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_I/code/figure6_code__fig6_cd_dotplot.py; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_I/code/figure6_code__fig6_cd_prepare_source_data.py; latest_figure_panel_data_code_20260604/Figure_6/panels/panel_I/code/figure6_code__fig6_source_data.py,latest_figure_panel_data_code_20260604/Figure_6/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_6/figure_level_code,current_source_data_20260602/figure6_source_data,current_source_data_20260602/figure6_code
Figure 7,a,Sertoli glycolytic output becomes uncoupled from germ-cell oxidative metabolism at the late-meiotic bottleneck.,"scMetabolism-based pathway activity scores for glycolysis and oxidative phosphorylation across diagnostic groups in the germline compartment. Disease contexts show altered balance between glycolytic activity and mitochondrial oxidative metabolism, consistent with stage- and diagnosis-dependent metabolic remodeling.",partial; Featureplot exports available; per-cell score matrix not located in this folder,latest_figure_panel_data_code_20260604/Figure_7/panels/panel_A/source_data/figure7_source_data__Fig7A_featureplot_file_registry.csv; latest_figure_panel_data_code_20260604/Figure_7/panels/panel_A/source_data/figure7_source_data__Fig7A_scmeta_diff_late_primary_pathways.csv; latest_figure_panel_data_code_20260604/Figure_7/panels/panel_A/source_data/figure7_source_data__Fig7A_scmeta_diff_selected_pathways_long.csv; latest_figure_panel_data_code_20260604/Figure_7/panels/panel_A/source_data/figure7_source_data__Fig7A_source_note.csv; latest_figure_panel_data_code_20260604/Figure_7/panels/panel_A/source_data/raw_support__Fig7A_P20073103_group.xls; latest_figure_panel_data_code_20260604/Figure_7/panels/panel_A/source_data/raw_support__Fig7A_P20073103_group_no_OA.xls,latest_figure_panel_data_code_20260604/Figure_7/panels/panel_A/code/figure7_code__README.txt; latest_figure_panel_data_code_20260604/Figure_7/panels/panel_A/code/figure7_code__fig7_plot_panels.py; latest_figure_panel_data_code_20260604/Figure_7/panels/panel_A/code/figure7_code__fig7_source_data.py,latest_figure_panel_data_code_20260604/Figure_7/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_7/figure_level_code,current_source_data_20260602/figure7_source_data,current_source_data_20260602/figure7_code
Figure 7,b,Sertoli glycolytic output becomes uncoupled from germ-cell oxidative metabolism at the late-meiotic bottleneck.,Gene-level summary of glycolysis–TCA-cycle–oxidative phosphorylation pathway components in late primary spermatocytes. Bars indicate log2 fold change comparing disease with control. Increased expression of selected glycolytic genes and reduced expression of mitochondrial/TCA/OXPHOS components support impaired oxidative metabolism at the late-meiotic divergence window.,available; Diagram gene log2FC table and source scripts are available,latest_figure_panel_data_code_20260604/Figure_7/panels/panel_B/source_data/figure7_source_data__Fig7B_diagram_gene_log2fc.csv; latest_figure_panel_data_code_20260604/Figure_7/panels/panel_B/source_data/figure7_source_data__Fig7B_full_expression_log2fc.csv; latest_figure_panel_data_code_20260604/Figure_7/panels/panel_B/source_data/figure7_source_data__Fig7B_oxphos_complex_summary.csv; latest_figure_panel_data_code_20260604/Figure_7/panels/panel_B/source_data/figure7_source_data__Fig7B_source_note.csv; latest_figure_panel_data_code_20260604/Figure_7/panels/panel_B/source_data/raw_support__Fig7B_Annotation_Row.csv; latest_figure_panel_data_code_20260604/Figure_7/panels/panel_B/source_data/raw_support__Fig7B_late_stage_all_genes_expression.csv; latest_figure_panel_data_code_20260604/Figure_7/panels/panel_B/source_data/raw_support__Fig7B_late_stage_diagram_genes_extracted.csv; latest_figure_panel_data_code_20260604/Figure_7/panels/panel_B/source_data/raw_support__Fig7B_late_stage_metabolism_log2fc_table.csv,latest_figure_panel_data_code_20260604/Figure_7/panels/panel_B/code/figure7_code__README.txt; latest_figure_panel_data_code_20260604/Figure_7/panels/panel_B/code/figure7_code__fig7_plot_panels.py; latest_figure_panel_data_code_20260604/Figure_7/panels/panel_B/code/figure7_code__fig7_source_data.py,latest_figure_panel_data_code_20260604/Figure_7/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_7/figure_level_code,current_source_data_20260602/figure7_source_data,current_source_data_20260602/figure7_code
Figure 7,c,Sertoli glycolytic output becomes uncoupled from germ-cell oxidative metabolism at the late-meiotic bottleneck.,Sertoli-cell lactate/glycolysis signature score across diagnoses. Elevated or preserved Sertoli lactate/glycolysis activity in several disease contexts suggests maintenance or compensatory activation of Sertoli metabolic output.,available; Cell-level score table and group summaries are available,latest_figure_panel_data_code_20260604/Figure_7/panels/panel_C/source_data/figure7_source_data__Fig7C_ST_lactate_glycolysis_by_subtype_summary.csv; latest_figure_panel_data_code_20260604/Figure_7/panels/panel_C/source_data/figure7_source_data__Fig7C_ST_lactate_glycolysis_cells.csv; latest_figure_panel_data_code_20260604/Figure_7/panels/panel_C/source_data/figure7_source_data__Fig7C_ST_lactate_glycolysis_summary.csv; latest_figure_panel_data_code_20260604/Figure_7/panels/panel_C/source_data/raw_support__Fig7C_ST_GSEA_expression.csv,latest_figure_panel_data_code_20260604/Figure_7/panels/panel_C/code/figure7_code__README.txt; latest_figure_panel_data_code_20260604/Figure_7/panels/panel_C/code/figure7_code__fig7_plot_panels.py; latest_figure_panel_data_code_20260604/Figure_7/panels/panel_C/code/figure7_code__fig7_source_data.py,latest_figure_panel_data_code_20260604/Figure_7/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_7/figure_level_code,current_source_data_20260602/figure7_source_data,current_source_data_20260602/figure7_code
